"section","metric","value"
"overview","system_runtime_days","0"
"overview","simulation_trades","0"
"overview","simulation_pnl","0"
"overview","simulation_max_drawdown","0.17999999999999547"
"overview","live_orders","0"
"overview","live_pnl","0.0"
"overview","auto_live_events","0"
"overview","approvals","4"
"overview","risk_blocks","0"
"overview","circuit_breakers","0"
"overview","deepseek_gemini_samples","7"
"overview","sample_enough","False"
"overview","recommendation","继续观察，不建议扩大额度"
"模拟交易","trade_count","0"
"模拟交易","win_count","0"
"模拟交易","loss_count","0"
"模拟交易","win_rate","0.0"
"模拟交易","total_pnl","0"
"模拟交易","avg_pnl","0.0"
"模拟交易","profit_factor","0.0"
"模拟交易","best_trade","0.0"
"模拟交易","worst_trade","0.0"
"模拟交易","most_common_symbol","-"
"模拟交易","source","暂无可用数据源"
"模拟交易","equity_source","data\sim_equity_curve.json"
"模拟交易","equity_points","3"
"模拟交易","max_drawdown","0.17999999999999547"
"模拟交易","sample_warning","模拟交易样本数量不足，当前结果仅供观察，不建议作为扩大实盘额度依据。"
"模拟交易","data_quality","poor"
"实盘交易","trade_count","0"
"实盘交易","win_count","0"
"实盘交易","loss_count","0"
"实盘交易","win_rate","0.0"
"实盘交易","total_pnl","0"
"实盘交易","avg_pnl","0.0"
"实盘交易","profit_factor","0.0"
"实盘交易","best_trade","0.0"
"实盘交易","worst_trade","0.0"
"实盘交易","most_common_symbol","-"
"实盘交易","source","暂无可用数据源"
"实盘交易","position_source","data\live_position_audit_log.json"
"实盘交易","filled_count","0"
"实盘交易","cancelled_count","0"
"实盘交易","manual_override_count","0"
"实盘交易","total_invested","0"
"实盘交易","estimated_fee","0"
"实盘交易","combined_pnl","0.0"
"实盘交易","sample_warning","实盘交易样本数量不足，当前结果仅供观察，不建议作为扩大实盘额度依据。"
"实盘交易","data_quality","good"
"自动实盘","source","暂无可用数据源"
"自动实盘","event_count","0"
"自动实盘","enabled_count","0"
"自动实盘","success_count","0"
"自动实盘","failure_count","0"
"自动实盘","circuit_breaker_count","0"
"自动实盘","cooldown_count","0"
"自动实盘","sample_warning","自动实盘样本数量不足，当前结果仅供观察，不建议作为扩大实盘额度依据。"
"自动实盘","recommendation","继续关闭自动实盘"
"自动实盘","data_quality","poor"
"审批流","source","data\approval_audit_log.csv"
"审批流","total","4"
"审批流","pending","2"
"审批流","approved","1"
"审批流","rejected","1"
"审批流","modified","0"
"审批流","expired","0"
"审批流","executed","0"
"审批流","failed","0"
"审批流","approval_accept_rate","25.0"
"审批流","approval_reject_rate","25.0"
"审批流","approval_expire_rate","0.0"
"审批流","approval_execution_success_rate","0.0"
"审批流","most_common_reason","????"
"审批流","sample_warning","审批流样本数量不足，当前结果仅供观察，不建议作为扩大实盘额度依据。"
"审批流","data_quality","good"
"委员表现","source","暂无可用数据源"
"委员表现","total_votes","0"
"委员表现","members","{}"
"委员表现","sample_warning","委员投票样本数量不足，当前结果仅供观察，不建议作为扩大实盘额度依据。"
"委员表现","data_quality","poor"
"外部AI","source","data\external_ai_audit_log.json"
"外部AI","total","7"
"外部AI","ai_stats","{""gemini"": {""total"": 3, ""success"": 2, ""failed"": 1, ""soft_veto"": 0, ""latencies"": [], ""avg_latency_ms"": 0.0, ""failure_rate"": 33.33333333333333}, ""deepseek"": {""total"": 4, ""success"": 3, ""failed"": 1, ""soft_veto"": 0, ""latencies"": [], ""avg_latency_ms"": 0.0, ""failure_rate"": 25.0}}"
"外部AI","sample_warning","外部AI样本数量不足，当前结果仅供观察，不建议作为扩大实盘额度依据。"
"外部AI","upgrade_suggestion","外部AI样本不足，暂不建议提高权重。"
"外部AI","data_quality","good"
"策略表现","source","data\backtest_results.json"
"策略表现","strategy_count","1"
"策略表现","grade_summary","{""D"": 1}"
"策略表现","overfit_summary","{""{'level': '低', 'reasons': ['未发现明显过拟合信号，但仍需样本外和模拟交易验证。']}"": 1}"
"策略表现","sample_warning","策略样本不足，当前仅用于候选观察。"
"策略表现","data_quality","good"
"风控表现","source","data\live_audit_log.json"
"风控表现","risk_event_count","13"
"风控表现","risk_veto_count","0"
"风控表现","data_quality_block_count","0"
"风控表现","api_error_block_count","0"
"风控表现","circuit_breaker_count","0"
"风控表现","cooldown_count","0"
"风控表现","conclusion","风控数据样本不足，建议维持保守设置。"
"风控表现","data_quality","good"
"服务器运行","source","暂无可用数据源"
"服务器运行","runtime_events","0"
"服务器运行","estimated_runtime_days","0"
"服务器运行","error_count","0"
"服务器运行","restart_count","0"
"服务器运行","stability","暂无服务器运行日志"
"服务器运行","data_quality","poor"
"通知与远程操作","source","暂无可用数据源"
"通知与远程操作","notification_count","0"
"通知与远程操作","unread_count","0"
"通知与远程操作","urgent_count","0"
"通知与远程操作","approval_notice_count","0"
"通知与远程操作","risk_notice_count","0"
"通知与远程操作","remote_action_count","0"
"通知与远程操作","login_failure_count","0"
"通知与远程操作","data_quality","poor"
"数据质量","checks","[{""file"": ""data\\sim_trade_history.json"", ""exists"": true, ""size"": 2, ""status"": ""存在""}, {""file"": ""data\\live_order_records.json"", ""exists"": true, ""size"": 2, ""status"": ""存在""}, {""file"": ""data\\approval_audit_log.json"", ""exists"": true, ""size"": 1118, ""status"": ""存在""}, {""file"": ""data\\external_ai_audit_log.json"", ""exists"": true, ""size"": 4631, ""status"": ""存在""}, {""file"": ""data\\notifications.json"", ""exists"": true, ""size"": 2, ""status"": ""存在""}]"
"数据质量","issues","[{""time"": ""2026-06-09 13:10:01"", ""file"": ""C:\\Users\\联砥\\Documents\\Codex\\2026-06-03\\python-binance-ai-assistant-1-streamlit\\AI模型_7.1.1\\data\\approval_audit_log.json"", ""issue"": ""JSON读取失败：Unexpected UTF-8 BOM (decode using utf-8-sig): line 1 column 1 (char 0)""}, {""time"": ""2026-06-09 13:10:04"", ""file"": ""C:\\Users\\联砥\\Documents\\Codex\\2026-06-03\\python-binance-ai-assistant-1-streamlit\\AI模型_7.1.1\\data\\approval_audit_log.json"", ""issue"": ""JSON读取失败：Unexpected UTF-8 BOM (decode using utf-8-sig): line 1 column 1 (char 0)""}]"
"数据质量","issue_count","2"
